playerCard1,playerCard2,playerCard3,playerCard4,playerCard5,dealerCard1,dealerCard2,dealerCard3,dealerCard4,dealerCard5,playerHandSum,dealerHandSum,decision,cardsLeft,count,result
8,3,8,0,0,8,3,10,0,0,19,21,0,410,1,Loss
2,10,10,0,0,6,7,6,0,0,22,19,0,404,2,Loss
11,4,5,0,0,5,10,1,9,0,20,25,0,397,2,Win
1,8,9,0,0,5,6,10,0,0,18,21,0,391,2,Loss
10,10,10,0,0,3,9,9,0,0,30,21,0,385,0,Loss
1,10,8,0,0,7,11,0,0,0,19,18,0,380,-3,Win
10,6,7,0,0,11,7,0,0,0,23,18,0,375,-4,Loss
6,2,6,0,0,10,10,0,0,0,14,20,0,370,-3,Loss
9,1,6,0,0,10,10,0,0,0,16,20,0,365,-5,Loss
1,8,7,0,0,11,9,0,0,0,16,20,0,360,-7,Loss
9,10,10,0,0,10,8,0,0,0,29,18,0,355,-10,Loss
2,5,11,0,0,10,7,0,0,0,18,17,0,350,-10,Win
2,6,10,0,0,6,11,0,0,0,18,17,0,345,-9,Win
10,8,2,0,0,9,9,0,0,0,20,18,0,340,-9,Win
10,10,10,0,0,2,1,11,4,0,30,18,0,333,-12,Loss
1,6,7,0,0,7,4,1,5,0,14,17,0,326,-11,Loss
3,10,2,0,0,5,10,7,0,0,15,22,0,320,-10,Win
10,10,10,0,0,8,10,0,0,0,30,18,0,315,-14,Loss
10,4,8,0,0,2,10,3,1,10,22,26,0,307,-15,Loss
4,4,5,0,0,7,9,2,0,0,13,18,0,301,-11,Loss
8,3,4,0,0,7,4,8,0,0,15,19,0,295,-8,Loss
1,7,4,0,0,5,6,4,10,0,12,25,0,288,-6,Win
7,8,8,0,0,11,10,0,0,0,23,21,0,283,-8,Loss
9,10,6,0,0,7,10,0,0,0,25,17,0,278,-9,Loss
8,10,4,0,0,3,6,8,0,0,22,17,0,272,-7,Loss
6,3,3,0,0,5,10,1,8,0,12,24,0,265,-5,Win
5,8,9,0,0,7,10,0,0,0,22,17,0,260,-5,Loss
5,4,4,0,0,8,3,5,3,0,13,19,0,253,1,Loss
10,10,10,0,0,10,3,4,0,0,30,17,0,247,-1,Loss
8,10,6,0,0,5,10,9,0,0,24,24,0,241,-1,Loss
9,9,10,0,0,6,10,9,0,0,28,25,0,235,-2,Loss
3,1,10,0,0,3,10,2,10,0,14,25,0,228,-3,Win
2,10,6,0,0,3,10,10,0,0,18,23,0,222,-3,Win
10,10,5,0,0,10,2,10,0,0,25,22,0,216,-5,Loss
10,8,10,0,0,10,9,0,0,0,28,19,0,211,-8,Loss
