playerCard1,playerCard2,playerCard3,playerCard4,playerCard5,dealerCard1,dealerCard2,dealerCard3,dealerCard4,dealerCard5,playerHandSum,dealerHandSum,cardsLeft,result
10,7,10,0,0,1,4,10,1,1,27,17,311,Loss
2,10,10,0,0,7,5,10,0,0,22,22,305,Loss
9,9,9,0,0,8,5,5,0,0,27,18,299,Loss
6,5,8,0,0,6,2,10,0,0,19,18,293,Win
10,1,2,0,0,10,2,4,4,0,13,20,286,Loss
5,2,5,0,0,10,6,2,0,0,12,18,280,Loss
8,10,7,0,0,10,3,10,0,0,25,23,274,Loss
10,4,5,0,0,9,2,6,0,0,19,17,268,Win
10,4,9,0,0,3,10,4,0,0,23,17,262,Loss
8,4,9,0,0,10,6,9,0,0,21,25,256,Win
10,1,9,0,0,10,9,0,0,0,20,19,251,Win
7,7,10,0,0,6,10,5,0,0,24,21,245,Loss
10,5,6,0,0,10,10,0,0,0,21,20,240,Win
10,1,5,0,0,3,9,10,0,0,16,22,234,Win
10,9,10,0,0,6,2,9,0,0,29,17,228,Loss
9,4,3,0,0,10,7,0,0,0,16,17,223,Loss
8,10,8,0,0,4,5,2,4,7,26,22,215,Loss
10,5,10,0,0,2,2,7,10,0,25,21,208,Loss
10,8,2,0,0,10,8,0,0,0,20,18,203,Win
3,4,11,0,0,10,7,0,0,0,18,17,411,Win
11,4,5,0,0,7,10,0,0,0,20,17,406,Win
10,5,6,0,0,6,10,1,0,0,21,17,400,Win
8,10,9,0,0,10,11,0,0,0,27,21,395,Loss
4,1,10,0,0,10,7,0,0,0,15,17,390,Loss
6,10,1,0,0,10,10,0,0,0,17,20,385,Loss
5,10,6,0,0,10,10,0,0,0,21,20,380,Win
2,4,10,0,0,3,8,4,3,0,16,18,373,Loss
9,3,1,0,0,3,6,6,7,0,13,22,366,Win
5,1,8,0,0,4,5,11,0,0,14,20,360,Loss
3,9,8,0,0,10,5,10,0,0,20,25,354,Win
2,4,4,10,0,2,10,8,0,0,20,20,347,Push
10,4,10,0,0,10,2,5,0,0,24,17,341,Loss
4,5,7,0,0,6,11,0,0,0,16,17,336,Loss
1,8,8,0,0,9,2,10,0,0,17,21,330,Loss
10,10,10,0,0,10,9,0,0,0,30,19,325,Loss
8,3,2,0,0,2,8,10,0,0,13,20,319,Loss
9,4,10,0,0,11,10,0,0,0,23,21,314,Loss
10,5,10,0,0,3,9,9,0,0,25,21,308,Loss
10,10,1,0,0,10,8,0,0,0,21,18,303,Win
10,8,10,0,0,6,10,9,0,0,28,25,297,Loss
10,5,8,0,0,5,3,5,1,4,23,18,289,Loss
10,9,10,0,0,1,3,11,2,0,29,17,282,Loss
1,10,10,0,0,10,2,10,0,0,21,22,276,Win
7,10,9,0,0,7,7,3,0,0,26,17,270,Loss
7,6,3,0,0,7,6,10,0,0,16,23,264,Win
5,5,8,0,0,8,5,10,0,0,18,23,258,Win
10,3,10,0,0,9,10,0,0,0,23,19,253,Loss
10,7,2,0,0,7,8,2,0,0,19,17,247,Win
6,8,4,0,0,7,5,10,0,0,18,22,241,Win
10,6,4,0,0,11,10,0,0,0,20,21,236,Loss
10,10,4,0,0,5,7,8,0,0,24,20,230,Loss
2,9,6,0,0,10,8,0,0,0,17,18,225,Loss
5,10,4,0,0,10,10,0,0,0,19,20,220,Loss
7,2,2,2,0,3,11,4,0,0,13,18,213,Loss
5,6,10,0,0,10,2,10,0,0,21,22,207,Win
3,4,9,0,0,7,7,10,0,0,16,24,410,Win
10,10,10,0,0,8,10,0,0,0,30,18,405,Loss
3,2,8,0,0,4,3,2,10,0,13,19,398,Loss
6,5,1,0,0,8,11,0,0,0,12,19,393,Loss
9,9,6,0,0,6,10,10,0,0,24,26,387,Loss
1,4,8,0,0,4,4,10,0,0,13,18,381,Loss
8,9,10,0,0,10,6,3,0,0,27,19,375,Loss
6,2,10,0,0,9,10,0,0,0,18,19,370,Loss
