playerCard1,playerCard2,playerCard3,playerCard4,playerCard5,dealerCard1,dealerCard2,dealerCard3,dealerCard4,dealerCard5,playerHandSum,dealerHandSum,decision,cardsLeft,count,result
9,2,5,0,0,2,4,10,6,0,16,22,2,347,-4,Win
6,9,0,0,0,3,7,4,2,6,15,22,2,340,1,Win
10,10,0,0,0,8,10,0,0,0,20,18,2,336,-2,Win
10,5,0,0,0,10,5,1,1,0,15,17,2,330,-4,Loss
11,4,0,0,0,8,3,6,0,0,15,17,2,325,-2,Loss
3,6,7,0,0,4,10,7,0,0,16,21,2,319,0,Loss
4,4,10,0,0,7,3,7,0,0,18,17,2,313,2,Win
10,5,0,0,0,8,6,10,0,0,15,24,2,308,2,Win
9,3,0,0,0,10,5,8,0,0,12,23,2,303,3,Win
11,7,0,0,0,10,10,0,0,0,18,20,2,299,0,Loss
10,10,0,0,0,5,10,10,0,0,20,25,2,294,-3,Win
6,9,0,0,0,6,2,10,0,0,15,18,2,289,-1,Loss
5,8,0,0,0,9,10,0,0,0,13,19,2,285,-1,Loss
5,8,0,0,0,2,2,10,9,0,13,23,2,279,1,Win
6,8,0,0,0,8,10,0,0,0,14,18,2,275,1,Loss
4,9,0,0,0,3,1,8,3,9,13,24,2,268,3,Win
4,5,10,0,0,2,6,10,0,0,19,18,2,262,5,Win
2,10,0,0,0,10,2,10,0,0,12,22,2,257,4,Win
4,8,0,0,0,3,4,3,2,4,12,17,2,249,9,Loss
4,4,8,0,0,4,3,6,2,5,16,20,2,241,16,Loss
10,4,0,0,0,10,2,4,10,0,14,26,2,235,16,Win
4,10,0,0,0,10,7,0,0,0,14,17,2,231,15,Loss
10,10,0,0,0,9,10,0,0,0,20,19,2,227,12,Win
5,11,0,0,0,10,8,0,0,0,16,18,2,223,11,Loss
6,10,0,0,0,6,10,9,0,0,16,25,2,218,11,Win
10,10,0,0,0,8,7,2,0,0,20,17,2,213,10,Win
11,10,0,0,0,7,8,10,0,0,21,25,2,208,7,Win
6,9,0,0,0,5,10,1,3,0,15,19,2,202,8,Loss
10,11,0,0,0,10,11,0,0,0,21,21,2,412,-4,Push
10,2,0,0,0,2,2,10,2,9,12,25,2,405,-2,Win
10,4,0,0,0,10,10,0,0,0,14,20,2,401,-4,Loss
10,8,0,0,0,2,3,10,2,0,18,17,2,395,-3,Win
10,6,0,0,0,10,6,10,0,0,16,26,2,390,-4,Win
3,2,3,2,5,10,11,0,0,0,15,21,2,383,-1,Loss
10,7,0,0,0,2,10,2,10,0,17,24,2,377,-2,Win
10,10,0,0,0,10,6,10,0,0,20,26,2,372,-5,Win
7,8,0,0,0,10,9,0,0,0,15,19,2,368,-6,Loss
1,11,0,0,0,9,10,0,0,0,12,19,2,364,-9,Loss
10,8,0,0,0,8,11,0,0,0,18,19,2,360,-11,Loss
5,3,8,0,0,9,10,0,0,0,16,19,2,355,-10,Loss
6,5,6,0,0,10,9,0,0,0,17,19,2,350,-8,Loss
10,6,0,0,0,9,5,2,10,0,16,26,2,344,-7,Win
9,4,0,0,0,10,10,0,0,0,13,20,2,340,-8,Loss
10,10,0,0,0,6,10,10,0,0,20,26,2,335,-11,Win
7,5,0,0,0,4,10,3,0,0,12,17,2,330,-9,Loss
10,10,0,0,0,10,10,0,0,0,20,20,2,326,-13,Push
7,2,10,0,0,6,9,4,0,0,19,19,2,320,-11,Push
7,11,0,0,0,10,5,4,0,0,18,19,2,315,-11,Loss
9,5,0,0,0,7,8,10,0,0,14,25,2,310,-11,Win
9,9,0,0,0,10,8,0,0,0,18,18,2,306,-12,Push
7,4,2,0,0,10,7,0,0,0,13,17,2,301,-11,Loss
10,8,0,0,0,3,7,4,6,0,18,20,2,295,-9,Loss
2,11,0,0,0,10,11,0,0,0,13,21,2,291,-11,Loss
3,10,0,0,0,10,9,0,0,0,13,19,2,287,-12,Loss
10,8,0,0,0,7,4,7,0,0,18,18,2,282,-12,Push
10,3,0,0,0,10,3,4,0,0,13,17,2,277,-11,Loss
5,5,10,0,0,10,4,10,0,0,20,24,2,271,-11,Win
6,10,0,0,0,4,3,10,0,0,16,17,2,266,-10,Loss
7,7,0,0,0,9,8,0,0,0,14,17,2,262,-10,Loss
5,6,10,0,0,1,4,1,8,10,21,24,2,254,-11,Win
9,8,0,0,0,10,11,0,0,0,17,21,2,250,-13,Loss
7,5,0,0,0,3,5,8,10,0,12,26,2,244,-11,Win
3,10,0,0,0,7,11,0,0,0,13,18,2,240,-12,Loss
10,8,0,0,0,2,4,4,6,7,18,23,2,233,-9,Win
1,11,0,0,0,10,5,5,0,0,12,20,2,228,-10,Loss
10,3,0,0,0,11,9,0,0,0,13,20,2,224,-11,Loss
4,11,0,0,0,10,3,8,0,0,15,21,2,219,-11,Loss
10,10,0,0,0,5,4,6,4,0,20,19,2,213,-9,Win
7,3,10,0,0,10,5,1,6,0,20,22,2,206,-9,Win
4,10,0,0,0,10,10,0,0,0,14,20,2,412,-2,Loss
10,11,0,0,0,10,8,0,0,0,21,18,2,408,-5,Win
6,10,0,0,0,2,8,2,8,0,16,20,2,402,-3,Loss
9,5,0,0,0,8,3,10,0,0,14,21,2,397,-2,Loss
10,10,0,0,0,10,5,10,0,0,20,25,2,392,-5,Win
7,4,2,0,0,4,9,10,0,0,13,23,2,386,-3,Win
4,8,0,0,0,4,6,10,0,0,12,20,2,381,-1,Loss
10,2,0,0,0,7,10,0,0,0,12,17,2,377,-2,Loss
10,10,0,0,0,3,7,10,0,0,20,20,2,372,-4,Push
9,5,0,0,0,10,9,0,0,0,14,19,2,368,-4,Loss
3,11,0,0,0,10,4,10,0,0,14,24,2,363,-5,Win
9,10,0,0,0,9,9,0,0,0,19,18,2,359,-6,Win
3,2,10,0,0,11,9,0,0,0,15,20,2,354,-6,Loss
10,9,0,0,0,10,8,0,0,0,19,18,2,350,-8,Win
6,10,0,0,0,2,5,2,10,0,16,19,2,344,-6,Loss
9,10,0,0,0,6,7,6,0,0,19,19,2,339,-5,Push
4,10,0,0,0,4,8,10,0,0,14,22,2,334,-5,Win
4,8,0,0,0,8,7,9,0,0,12,24,2,329,-4,Win
2,10,0,0,0,7,2,3,7,0,12,19,2,323,-2,Loss
8,3,7,0,0,7,4,10,0,0,18,21,2,317,-1,Loss
10,10,0,0,0,11,3,6,0,0,20,20,2,312,-2,Push
10,8,0,0,0,10,7,0,0,0,18,17,2,308,-4,Win
9,4,0,0,0,6,10,6,0,0,13,22,2,303,-2,Win
5,11,0,0,0,4,7,8,0,0,16,19,2,298,-1,Loss
8,6,0,0,0,10,2,10,0,0,14,22,2,293,-1,Win
4,10,0,0,0,5,6,1,6,0,14,18,2,287,1,Loss
10,4,0,0,0,10,7,0,0,0,14,17,2,283,0,Loss
3,10,0,0,0,3,10,1,4,0,13,18,2,277,0,Loss
4,10,0,0,0,3,10,9,0,0,14,22,2,272,0,Win
10,6,0,0,0,5,11,3,0,0,16,19,2,267,1,Loss
4,7,5,0,0,10,10,0,0,0,16,20,2,262,1,Loss
10,10,0,0,0,9,2,10,0,0,20,21,2,257,-1,Loss
6,10,0,0,0,5,3,2,9,0,16,19,2,251,2,Loss
6,8,0,0,0,8,5,10,0,0,14,23,2,246,3,Win
10,5,0,0,0,10,10,0,0,0,15,20,2,242,1,Loss
3,10,0,0,0,2,10,9,0,0,13,21,2,237,1,Loss
11,10,0,0,0,10,8,0,0,0,21,18,2,233,-2,Win
10,6,0,0,0,5,2,7,6,0,16,20,2,227,1,Loss
4,10,0,0,0,3,1,2,6,1,14,25,2,218,2,Win
6,3,11,0,0,3,7,3,1,9,20,23,2,210,4,Win
8,3,3,0,0,8,4,2,10,0,14,24,2,203,7,Win
4,10,0,0,0,4,9,1,10,0,14,24,2,410,-1,Win
9,9,0,0,0,6,5,10,0,0,18,21,2,405,0,Loss
10,7,0,0,0,3,8,10,0,0,17,21,2,400,-1,Loss
9,10,0,0,0,11,10,0,0,0,19,21,2,396,-4,Loss
10,9,0,0,0,10,10,0,0,0,19,20,2,392,-7,Loss
3,10,0,0,0,10,5,1,3,0,13,19,2,386,-7,Loss
2,7,11,0,0,10,10,0,0,0,20,20,2,381,-9,Push
7,10,0,0,0,10,10,0,0,0,17,20,2,377,-12,Loss
8,4,0,0,0,6,2,5,7,0,12,20,2,371,-8,Loss
5,3,10,0,0,10,8,0,0,0,18,18,2,366,-8,Push
10,8,0,0,0,3,6,10,0,0,18,19,2,361,-8,Loss
10,11,0,0,0,4,11,4,0,0,21,19,2,356,-9,Win
6,11,0,0,0,10,5,7,0,0,17,22,2,351,-9,Win
11,8,0,0,0,6,5,8,0,0,19,19,2,346,-8,Push
10,7,0,0,0,6,11,0,0,0,17,17,2,342,-9,Push
8,10,0,0,0,4,10,3,0,0,18,17,2,337,-9,Win
10,2,0,0,0,4,9,9,0,0,12,22,2,332,-8,Win
11,5,0,0,0,6,3,8,0,0,16,17,2,327,-6,Loss
10,3,0,0,0,5,5,7,0,0,13,17,2,322,-4,Loss
10,9,0,0,0,10,10,0,0,0,19,20,2,318,-7,Loss
10,4,0,0,0,5,10,6,0,0,14,21,2,313,-6,Loss
6,10,0,0,0,6,8,3,0,0,16,17,2,308,-4,Loss
10,4,0,0,0,3,6,2,9,0,14,20,2,302,-1,Loss
5,8,0,0,0,11,10,0,0,0,13,21,2,298,-2,Loss
5,9,0,0,0,10,2,1,10,0,14,23,2,292,-3,Win
8,5,0,0,0,3,4,4,2,10,13,23,2,285,1,Win
3,5,11,0,0,2,6,10,0,0,19,18,2,279,3,Win
10,2,0,0,0,3,7,3,10,0,12,23,2,273,4,Win
9,7,0,0,0,7,10,0,0,0,16,17,2,269,3,Loss
10,10,0,0,0,5,7,10,0,0,20,22,2,264,1,Win
2,10,0,0,0,2,7,11,0,0,12,20,2,259,1,Loss
8,11,0,0,0,2,9,5,6,0,19,22,2,253,3,Win
3,11,0,0,0,2,8,7,0,0,14,17,2,248,4,Loss
2,10,0,0,0,10,6,10,0,0,12,26,2,243,3,Win
10,2,0,0,0,9,6,7,0,0,12,22,2,238,4,Win
4,9,0,0,0,7,8,2,0,0,13,17,2,233,6,Loss
11,9,0,0,0,3,7,9,0,0,20,19,2,228,6,Win
2,2,2,3,6,10,4,2,6,0,15,22,2,219,13,Win
9,10,0,0,0,3,10,4,0,0,19,17,2,214,13,Win
10,10,0,0,0,5,8,5,0,0,20,18,2,209,13,Win
10,8,0,0,0,7,10,0,0,0,18,17,2,205,11,Win
10,11,0,0,0,8,5,6,0,0,21,19,2,411,0,Win
6,4,7,0,0,7,4,10,0,0,17,21,2,405,2,Loss
8,4,0,0,0,10,10,0,0,0,12,20,2,401,1,Loss
3,6,6,0,0,3,10,10,0,0,15,23,2,395,3,Win
6,11,0,0,0,9,2,9,0,0,17,20,2,390,4,Loss
10,2,0,0,0,10,2,10,0,0,12,22,2,385,3,Win
9,7,0,0,0,4,10,7,0,0,16,21,2,380,3,Loss
2,4,9,0,0,7,5,10,0,0,15,22,2,374,5,Win
7,6,0,0,0,2,9,1,7,0,13,19,2,368,6,Loss
10,10,0,0,0,4,8,4,9,0,20,25,2,362,6,Win
10,10,0,0,0,1,5,6,4,10,20,26,2,355,5,Win
10,4,0,0,0,10,10,0,0,0,14,20,2,351,3,Loss
2,10,0,0,0,3,6,3,3,5,12,20,2,344,8,Loss
